StartDate,EndDate,Status,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Age,Gender.,Gender._4_TEXT,Musicianship,QID41,Gold.MSI.Q1,Gold.MSI.Q2,Gold.MSI.Q3,Example.,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Feedback
2024-11-17 09:01:09,2024-11-17 09:14:03,IP Address,129.234.0.184,100,773,True,2024-11-17 09:14:03,R_2Clzbu2lUrpxrXs,,,,,54.7699,-1.559,anonymous,EN-GB,I understand the conditions of this study,21,Male,,Serious amateur musician,"I've never been a working professional musician, but have played regularly in amateur bands, and performed at somewhat high profile gigs with uni ensembles",6-9,7-10,30-60 minutes,Tenderness,Sadness,Fear,Sadness,Fear,Tenderness,Sadness,Anger,Tenderness,Fear,Fear,Anger,Sadness,Fear,Sadness,Happiness,Fear,Happiness,Fear,Sadness,Anger,Sadness,Happiness,Tenderness,Fear,Fear,
2024-11-17 09:18:37,2024-11-17 09:33:44,IP Address,90.251.20.110,100,906,True,2024-11-17 09:33:44,R_2U1LrplMCzZCKgV,,,,,53.5652,-2.3765,anonymous,EN-GB,I understand the conditions of this study,20,Male,,Music-loving nonmusician,I actively listen to a lot of music.,0,3,30-60 minutes,Tenderness,Fear,Fear,Sadness,Sadness,Tenderness,Anger,Happiness,Sadness,Fear,Anger,Anger,Tenderness,Fear,Tenderness,Happiness,Fear,Happiness,Sadness,Tenderness,Anger,Sadness,Happiness,Tenderness,Anger,Fear,I liked it. It might have been nice to have an I don't know button for the shorter clips.
2024-11-17 16:35:13,2024-11-17 16:40:22,IP Address,81.155.238.144,100,309,True,2024-11-17 16:40:23,R_8Ra0h7w7pjxWJ1x,,,,,51.4993,-0.1223,anonymous,EN-GB,I understand the conditions of this study,19,Female,,Music-loving nonmusician,,0,4-6,2 hours,Tenderness,Happiness,Fear,Sadness,Sadness,Happiness,Sadness,Happiness,Sadness,Anger,Anger,Fear,Happiness,Fear,Tenderness,Happiness,Fear,Happiness,Sadness,Sadness,Fear,Tenderness,Happiness,Sadness,Fear,Fear,
2024-11-18 05:06:09,2024-11-18 05:10:30,IP Address,88.97.196.66,100,260,True,2024-11-18 05:10:30,R_8m3kQ2gI9W3bDqt,,,,,54.5869,-1.4165,anonymous,EN-GB,I understand the conditions of this study,20,Female,,Serious amateur musician,Not professional but done lots of music,10+,7-10,60-90 minutes,Happiness,Fear,Anger,Sadness,Tenderness,Fear,Tenderness,Anger,Happiness,Fear,Anger,Anger,Happiness,Fear,Sadness,Happiness,Fear,Happiness,Sadness,Sadness,Fear,Sadness,Tenderness,Happiness,Anger,Fear,
2024-11-18 05:13:05,2024-11-18 05:19:07,IP Address,81.77.34.62,100,361,True,2024-11-18 05:19:08,R_8vyztwHxrqNQ8gx,,,,,53.7663,-1.5695,anonymous,EN-GB,I understand the conditions of this study,19,Female,,Serious amateur musician,,10+,2,2-3 hours,Tenderness,Fear,Fear,Fear,Anger,Fear,Anger,Fear,Sadness,Fear,Fear,Anger,Happiness,Anger,Sadness,Happiness,Fear,Happiness,Fear,Tenderness,Anger,Sadness,Happiness,Tenderness,Anger,Fear,That was great
2024-11-18 05:07:38,2024-11-18 05:19:53,IP Address,92.28.37.2,100,734,True,2024-11-18 05:19:53,R_8Q0bYTBqj1c0W0p,,,,,50.7153,-1.8719,anonymous,EN-GB,I understand the conditions of this study,50,Female,,Music-loving nonmusician,,10+,3,15-30 minutes,Tenderness,Fear,Anger,Sadness,Fear,Sadness,Anger,Anger,Tenderness,Fear,Anger,Anger,Happiness,Fear,Sadness,Happiness,Fear,Happiness,Sadness,Tenderness,Sadness,Tenderness,Tenderness,Sadness,Anger,Fear,
2024-11-18 08:27:52,2024-11-18 08:34:16,IP Address,152.78.0.143,100,383,True,2024-11-18 08:34:17,R_2FyqAcGHBcKnDaq,,,,,50.9469,-1.4112,anonymous,EN-GB,I understand the conditions of this study,18,Male,,Serious amateur musician,Played instruments to a high level,6-9,4-6,15-30 minutes,Tenderness,Sadness,Fear,Sadness,Anger,Sadness,Sadness,Fear,Happiness,Fear,Fear,Anger,Sadness,Fear,Sadness,Happiness,Fear,Happiness,Sadness,Sadness,Fear,Sadness,Happiness,Sadness,Anger,Fear,
2024-11-18 08:29:01,2024-11-18 08:39:10,IP Address,86.162.51.109,100,608,True,2024-11-18 08:39:10,R_8BmkRS9SkvDQ4OQ,,,,,52.2417,1.5202,anonymous,EN-GB,I understand the conditions of this study,52,Female,,Nonmusician,No music qualifications. Liked singing at primary school...and in the car!,3,7-10,0-15 minutes,Tenderness,Anger,Fear,Tenderness,Happiness,Happiness,Happiness,Happiness,Tenderness,Fear,Anger,Fear,Tenderness,Sadness,Sadness,Happiness,Fear,Happiness,Sadness,Tenderness,Anger,Tenderness,Happiness,Sadness,Fear,Fear,The 1st few clips are so short I was worried they hadn't downloaded but all became clear as I continued.
2024-11-18 09:26:26,2024-11-18 09:36:48,IP Address,82.132.185.209,100,621,True,2024-11-18 09:36:48,R_2nMVDn3a0fCF02N,,,,,53.7458,-1.3761,anonymous,EN-GB,I understand the conditions of this study,58,Female,,Music-loving nonmusician,"grew up listening to music, jazz, classical, my dads influence, then loved all music from 70’s onwards ",1,4-6,60-90 minutes,Happiness,Fear,Anger,Tenderness,Sadness,Happiness,Sadness,Anger,Sadness,Fear,Anger,Anger,Tenderness,Fear,Sadness,Happiness,Fear,Anger,Sadness,Tenderness,Anger,Anger,Happiness,Tenderness,Anger,Fear,"interesting, happy to take part "
2024-11-18 09:37:58,2024-11-18 09:45:03,IP Address,86.148.0.183,100,424,True,2024-11-18 09:45:03,R_2qVfvnN1IID7JCM,,,,,52.0686,1.1443,anonymous,EN-GB,I understand the conditions of this study,60,Female,,Music-loving nonmusician,,0,4-6,0-15 minutes,Tenderness,Fear,,Tenderness,Fear,Happiness,,Happiness,Happiness,Fear,Happiness,Fear,Tenderness,Fear,Sadness,Happiness,Fear,Happiness,Tenderness,Sadness,Anger,,,,,,The 6th from last had an error message then the last 5 had no volume. Sorry
2024-11-18 09:45:29,2024-11-18 09:56:34,IP Address,86.171.57.90,100,665,True,2024-11-18 09:56:35,R_2iIl3u9v0hQah6M,,,,,52.0605,1.2358,anonymous,EN-GB,I understand the conditions of this study,60,Female,,Nonmusician,,1,3,0-15 minutes,Tenderness,Fear,Anger,Sadness,Sadness,Fear,Sadness,Anger,Happiness,Fear,Anger,Anger,Happiness,Sadness,Sadness,Happiness,Fear,Happiness,Tenderness,Sadness,Anger,Sadness,Happiness,Tenderness,Anger,Fear,
2024-11-18 09:23:00,2024-11-18 10:04:03,IP Address,104.28.40.129,100,2463,True,2024-11-18 10:04:04,R_20ei7Poch4DatiZ,,,,,51.8613,-0.4656,anonymous,EN-GB,I understand the conditions of this study,58,Female,,Nonmusician,,0,0,0-15 minutes,,,,,Anger,Fear,Sadness,Fear,Tenderness,,Anger,Anger,Tenderness,Sadness,Sadness,Happiness,Fear,Happiness,Sadness,Tenderness,Anger,Sadness,Happiness,Tenderness,Anger,Fear,
2024-11-18 09:25:40,2024-11-18 10:05:47,IP Address,86.145.152.206,100,2407,True,2024-11-18 10:05:48,R_82H598B1Xn1SsXn,,,,,52.0686,1.1443,anonymous,EN-GB,I understand the conditions of this study,59,Female,,Amateur musician,Choir participant,6-9,3,4 hours or more,Tenderness,,Fear,Sadness,Sadness,Happiness,Sadness,Anger,Tenderness,Fear,Anger,Fear,Tenderness,Fear,Tenderness,Happiness,Fear,,Tenderness,Tenderness,Sadness,Sadness,Happiness,Tenderness,Anger,Fear,Was the purpose of the survey to see Joe long it would take to correctly identify music normally associated with mood?
2024-11-18 09:59:35,2024-11-18 10:10:07,IP Address,87.115.190.56,100,632,True,2024-11-18 10:10:07,R_2rkEYsabQ3EcRPz,,,,,52.0488,-0.3595,anonymous,EN-GB,I understand the conditions of this study,59,Female,,Amateur musician,,10+,7-10,15-30 minutes,Tenderness,Fear,Anger,Sadness,Anger,Fear,Sadness,Fear,Tenderness,Fear,Anger,Anger,Tenderness,Fear,Sadness,Happiness,Fear,Happiness,Sadness,Sadness,Anger,Sadness,Happiness,Tenderness,Anger,Fear,
2024-11-18 10:08:01,2024-11-18 10:12:41,IP Address,51.9.139.228,100,279,True,2024-11-18 10:12:41,R_8dX49xIszP7hBMm,,,,,51.1003,-1.8785,anonymous,EN-GB,I understand the conditions of this study,35,Female,,Music-loving nonmusician,,10+,7-10,60-90 minutes,Tenderness,Fear,Anger,Happiness,Tenderness,Fear,Sadness,Anger,Happiness,Tenderness,Anger,Anger,Happiness,Fear,Tenderness,Tenderness,,Sadness,Sadness,Tenderness,Anger,Sadness,Happiness,Sadness,Fear,Tenderness,
2024-11-18 10:07:08,2024-11-18 10:17:55,IP Address,213.244.201.78,100,647,True,2024-11-18 10:17:56,R_8mduRTjPykJe0MY,,,,,52.0213,1.4132,anonymous,EN-GB,I understand the conditions of this study,48,Female,,Music-loving nonmusician,i can play piano basically,3,4-6,30-60 minutes,Tenderness,Fear,Anger,Sadness,Tenderness,Happiness,Fear,Happiness,Sadness,Anger,Fear,Fear,Happiness,Tenderness,Sadness,Happiness,Fear,Happiness,Sadness,Anger,Fear,Tenderness,Happiness,Fear,Anger,Fear,
2024-11-18 10:26:47,2024-11-18 10:33:10,IP Address,152.78.0.135,100,383,True,2024-11-18 10:33:11,R_8ocCbqKX7PIEWdZ,,,,,50.9469,-1.4112,anonymous,EN-GB,I understand the conditions of this study,18,Male,,Music-loving nonmusician,,0,3,15-30 minutes,Happiness,Fear,Anger,Sadness,Tenderness,Fear,Sadness,Sadness,Sadness,Tenderness,Anger,Fear,Happiness,Fear,Sadness,Happiness,Fear,Happiness,Sadness,Tenderness,Fear,Fear,Happiness,Tenderness,Fear,Fear,The First six or more where too short to really gauge the feeling trying to be portrayed 
2024-11-18 10:34:24,2024-11-18 10:44:33,IP Address,152.78.0.135,100,609,True,2024-11-18 10:44:33,R_8IwSJKdrVamjpol,,,,,50.9469,-1.4112,anonymous,EN-GB,I understand the conditions of this study,19,Female,,Amateur musician,"I really enjoy listening to a variety of music and singing, but have not played an instrument in 10 years.",2,2,2 hours,Tenderness,Fear,Anger,Tenderness,Sadness,Fear,Anger,Anger,Sadness,Fear,Anger,Fear,Happiness,Fear,Sadness,Happiness,Fear,Happiness,Sadness,Tenderness,Anger,Fear,Happiness,Tenderness,Anger,Fear,
2024-11-18 13:44:59,2024-11-18 13:52:09,IP Address,86.162.51.109,100,430,True,2024-11-18 13:52:10,R_8uCFTvHhD8U4XFo,,,,,52.2417,1.5202,anonymous,EN-GB,I understand the conditions of this study,56,Male,,Nonmusician,,6-9,4-6,15-30 minutes,Tenderness,,Fear,Sadness,Sadness,Sadness,Sadness,Fear,Fear,Anger,Fear,Anger,Tenderness,Fear,Sadness,Happiness,Fear,Happiness,Sadness,Sadness,Anger,Sadness,Tenderness,Tenderness,Anger,Fear,Short ones are too short to hear.
